mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.407641363,0.015450032,7.79209981,2.1888215,kd_tree,31,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 31, 'weights': 'distance'})",0.94,0.95125,0.93625,0.9325,0.94375,0.94075,0.006451744,146
0.078846312,0.023377702,0.908448648,0.121682784,auto,15,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 15, 'weights': 'uniform'})",0.9425,0.95375,0.94375,0.9375,0.95,0.9455,0.005733672,54
0.105147934,0.025282747,0.917978334,0.062527408,auto,35,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 35, 'weights': 'distance'})",0.94,0.9475,0.9325,0.92875,0.94,0.93775,0.006538348,192
0.118321562,0.018789366,0.941575766,0.047561282,auto,44,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 44, 'weights': 'distance'})",0.9325,0.94875,0.92875,0.92875,0.94125,0.936,0.007842194,215
0.073617458,0.031678787,0.80392518,0.080791272,brute,46,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 46, 'weights': 'distance'})",0.9325,0.94875,0.92875,0.9275,0.94,0.9355,0.007929376,222
0.304503107,0.017703562,7.83893137,1.699764428,ball_tree,8,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'uniform'})",0.93375,0.9475,0.94375,0.92875,0.94,0.93875,0.006754628,177
0.093647861,0.028284113,0.852509451,0.163540668,brute,17,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 17, 'weights': 'distance'})",0.94625,0.95375,0.94625,0.94,0.94625,0.9465,0.004358899,30
0.401791191,0.061085805,8.85821228,1.36242086,kd_tree,14,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance'})",0.94625,0.955,0.94875,0.9425,0.95125,0.94875,0.004257347,1
0.072973299,0.019940963,0.747253466,0.147300131,brute,18,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 18, 'weights': 'uniform'})",0.94625,0.9525,0.94,0.94125,0.9475,0.9455,0.004513868,54
0.251206541,0.007945983,8.742967319,0.760396837,ball_tree,4,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'uniform'})",0.935,0.93,0.9175,0.91375,0.9275,0.92475,0.00792149,284
0.09818902,0.018543244,0.40998683,0.163037313,brute,7,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 7, 'weights': 'distance'})",0.92875,0.9425,0.94,0.93,0.94,0.93625,0.005700877,214
0.555968523,0.118203524,18.66434841,1.042331546,ball_tree,20,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 20, 'weights': 'uniform'})",0.94375,0.95125,0.93875,0.93875,0.9475,0.944,0.004898979,80
0.677491856,0.154338758,18.64652138,1.340861099,ball_tree,36,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 36, 'weights': 'distance'})",0.93875,0.95,0.93375,0.92875,0.9425,0.93875,0.00728869,177
0.517198801,0.057476381,18.81078277,1.488969129,ball_tree,49,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 49, 'weights': 'distance'})",0.9325,0.94625,0.9275,0.9275,0.93875,0.9345,0.007185054,250
0.481803942,0.095259013,19.28906212,0.850644089,ball_tree,28,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 28, 'weights': 'distance'})",0.9425,0.9525,0.93625,0.935,0.94375,0.942,0.006254998,109
0.759104681,0.155357466,19.91012917,0.122723114,kd_tree,1,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 1, 'weights': 'uniform'})",0.865,0.88375,0.86375,0.84625,0.865,0.86475,0.011869077,293
0.643444014,0.159664866,19.00800729,1.263817256,ball_tree,42,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 42, 'weights': 'uniform'})",0.93125,0.94875,0.92875,0.9275,0.93625,0.9345,0.007729812,250
0.523295403,0.123795599,18.60202961,1.058614705,ball_tree,50,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 50, 'weights': 'uniform'})",0.9275,0.9475,0.925,0.9275,0.93625,0.93275,0.008306624,273
0.557247877,0.106661218,19.24718113,0.982922056,ball_tree,15,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 15, 'weights': 'distance'})",0.94,0.95625,0.94875,0.94,0.9525,0.9475,0.006566963,13
0.124626398,0.050920184,0.571759367,0.307800288,auto,1,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'distance'})",0.865,0.88375,0.86375,0.84625,0.865,0.86475,0.011869077,293
0.107147264,0.033726317,0.349848032,0.056464404,brute,32,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 32, 'weights': 'distance'})",0.93875,0.94875,0.93875,0.9325,0.9425,0.94025,0.005326819,152
0.110135937,0.024351113,0.334748363,0.042411707,brute,38,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 38, 'weights': 'uniform'})",0.93375,0.94875,0.93125,0.92875,0.9375,0.936,0.007,215
0.109668827,0.040727333,0.340046406,0.04289318,brute,11,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 11, 'weights': 'uniform'})",0.94,0.955,0.94625,0.94125,0.9475,0.946,0.005326819,38
0.580303621,0.022308229,6.820719385,0.09343371,kd_tree,21,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 21, 'weights': 'distance'})",0.9425,0.9525,0.94125,0.93875,0.95,0.945,0.005303301,68
0.575355625,0.063422906,6.879049873,0.1039787,kd_tree,50,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 50, 'weights': 'uniform'})",0.9275,0.9475,0.925,0.9275,0.93625,0.93275,0.008306624,273
0.09521594,0.026037746,0.252138567,0.079294361,brute,26,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 26, 'weights': 'distance'})",0.9425,0.9525,0.9375,0.9325,0.94375,0.94175,0.006689544,120
0.103771544,0.025168284,0.354527426,0.06481906,auto,50,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 50, 'weights': 'distance'})",0.93125,0.9475,0.92875,0.9275,0.9375,0.9345,0.007356969,250
0.144658613,0.037399035,0.289147186,0.025224575,auto,50,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 50, 'weights': 'uniform'})",0.9275,0.9475,0.925,0.9275,0.93625,0.93275,0.008306624,273
0.533760977,0.044034669,6.868540525,0.090801902,kd_tree,25,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 25, 'weights': 'distance'})",0.9425,0.9525,0.94,0.93375,0.94375,0.9425,0.006072479,106
0.131366301,0.018073585,0.29983654,0.042005776,brute,1,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 1, 'weights': 'uniform'})",0.865,0.88375,0.86375,0.84625,0.865,0.86475,0.011869077,293
0.58624568,0.03932945,16.33278446,0.81496471,ball_tree,32,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 32, 'weights': 'uniform'})",0.9375,0.9475,0.93625,0.92875,0.94,0.938,0.006051859,186
0.108449697,0.026755701,0.320022154,0.077046473,brute,29,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 29, 'weights': 'uniform'})",0.94,0.94875,0.935,0.9325,0.94,0.93925,0.005567764,163
0.118124485,0.020074045,0.423244333,0.091055478,brute,23,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 23, 'weights': 'uniform'})",0.94,0.9475,0.9375,0.93625,0.945,0.94125,0.004330127,130
0.590558052,0.06215072,15.84453301,0.662201933,ball_tree,12,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance'})",0.93875,0.96125,0.945,0.9425,0.95,0.9475,0.007786206,13
0.556957054,0.107911421,16.65113678,0.627064252,kd_tree,27,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 27, 'weights': 'uniform'})",0.94,0.95125,0.93625,0.9325,0.94125,0.94025,0.006294839,152
0.518233871,0.156220014,16.81883211,0.325360355,ball_tree,13,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 13, 'weights': 'uniform'})",0.94125,0.9575,0.945,0.93875,0.9475,0.946,0.006490377,46
