mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
21.49406528,0.22760512,9.684596936,0.125580198,5798660.081,1.00E-06,"OrderedDict({'C': 5798660.081373344, 'gamma': 1.0011771728514477e-06})",0.763118441,0.735933983,0.768942236,0.75599822,0.014385394,101
21.2310578,0.07414185,8.879763285,0.035603524,5798660.081,1.64E-06,"OrderedDict({'C': 5798660.081373344, 'gamma': 1.6364977935751943e-06})",0.832833583,0.813953488,0.822955739,0.823247604,0.007710529,99
18.43238807,0.260671287,8.578506231,0.167705873,5798660.081,2.54E-06,"OrderedDict({'C': 5798660.081373344, 'gamma': 2.5426401812863433e-06})",0.859070465,0.84396099,0.857464366,0.853498607,0.006775913,97
17.58903241,0.010587376,8.765932878,0.120007481,5798660.081,4.75E-06,"OrderedDict({'C': 5798660.081373344, 'gamma': 4.747820489163999e-06})",0.85832084,0.859714929,0.861215304,0.859750357,0.001181926,96
13.65002275,0.093233476,8.219421148,0.281539316,5798660.081,7.22E-06,"OrderedDict({'C': 5798660.081373344, 'gamma': 7.222793296991795e-06})",0.863568216,0.864966242,0.864966242,0.864500233,0.000659036,95
7.88277324,0.497011129,7.276983341,0.29948054,5798660.081,1.22E-05,"OrderedDict({'C': 5798660.081373344, 'gamma': 1.2175300186824585e-05})",0.733133433,0.789947487,0.779444861,0.767508594,0.02468218,100
5.949449619,0.397079957,5.047952175,0.150918869,5798660.081,2.07E-05,"OrderedDict({'C': 5798660.081373344, 'gamma': 2.0714307436776322e-05})",0.910044978,0.893473368,0.879969992,0.894496113,0.012299341,94
3.889457464,0.205073152,5.01184988,0.198822956,5798660.081,2.99E-05,"OrderedDict({'C': 5798660.081373344, 'gamma': 2.9864263621814222e-05})",0.917541229,0.904726182,0.865716429,0.895994613,0.022039853,92
3.079217037,0.083780665,2.887786309,0.206820785,5798660.081,3.87E-05,"OrderedDict({'C': 5798660.081373344, 'gamma': 3.865474215282142e-05})",0.905547226,0.901725431,0.878469617,0.895247425,0.011965858,93
2.844324589,0.068516311,2.382713318,0.044938676,5798660.081,5.05E-05,"OrderedDict({'C': 5798660.081373344, 'gamma': 5.0506997103847325e-05})",0.909295352,0.910727682,0.889722431,0.903248488,0.009582226,91
2.509498119,0.209158674,2.093166749,0.183130308,5798660.081,8.31E-05,"OrderedDict({'C': 5798660.081373344, 'gamma': 8.305704160228943e-05})",0.734632684,0.916729182,0.888222056,0.846527974,0.07997325,98
2.926796993,0.444728792,2.169674635,0.155174431,5798660.081,0.000147144,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.00014714431515185574})",0.932533733,0.918979745,0.907726932,0.919746803,0.010141848,90
